0.010209,200
0.012887,200
0.021238,200
0.022510,200
0.021295,200
0.021135,200
0.020329,200
0.021720,200
0.021810,200
0.021978,200
0.022522,200
0.020803,200
0.021921,200
0.002973,200
0.002000,200
0.002620,200
0.003731,200
0.001596,200
0.001354,200
0.000944,200
0.002357,200
0.002917,200
0.003415,200
0.003848,200
0.003635,200
0.004052,200
0.004556,200
0.004388,200
0.001830,200
0.002129,200
0.001956,200
0.000831,200
0.000970,200
0.001232,200
0.001319,200
0.001534,200
0.001573,200
0.000801,200
0.002411,200
0.002631,200
0.002699,200
0.003176,200
0.002081,200
0.001882,200
0.001391,200
0.001514,200
0.001868,200
0.001357,200
0.001901,200
0.001005,200
0.000934,200
0.001488,200
0.000944,200
0.001073,200
0.000770,200
0.001372,200
0.000889,200
0.002723,200
0.003616,200
0.003191,200
0.003563,200
0.002670,200
0.003424,200
0.002597,200
0.002815,200
0.002974,200
0.003362,200
0.002519,200
0.002683,200
0.003479,200
0.002930,200
0.002122,200
0.003048,200
0.002866,200
0.003186,200
0.002836,200
0.001364,200
0.002227,200
0.003939,200
0.000874,200
0.001990,200
0.001340,200
0.001082,200
0.001261,200
0.001269,200
0.001786,200
0.001794,200
0.001864,200
0.001344,200
0.001239,200
0.002250,200
0.002337,200
0.002505,200
0.002349,200
0.002354,200
0.002492,200
0.001358,200
0.002952,200
0.003796,200
0.004792,200
0.005340,200
0.005305,200
0.001795,200
0.001055,200
0.001696,200
0.002014,200
0.001628,200
0.001533,200
0.001984,200
0.001818,200
0.002247,200
0.002449,200
0.000975,200
0.001506,200
0.001354,200
0.000698,200
0.001266,200
0.001511,200
0.002122,200
0.002554,200
0.002706,200
0.000719,200
0.000960,200
0.001986,200
0.001281,200
0.001432,200
0.001586,200
0.000651,200
0.000859,200
0.000960,200
0.000735,200
0.001055,200
0.002373,200
0.002318,200
0.003349,200
0.003264,200
0.000834,200
0.001266,200
0.001271,200
0.001909,200
0.001035,200
0.001409,200
0.002129,200
0.002585,200
0.002801,200
0.003197,200
0.003488,200
0.001117,200
0.000956,200
0.001750,200
0.001989,200
0.002669,200
0.003218,200
0.003440,200
0.000782,200
0.000828,200
0.001153,200
0.001173,200
0.002116,200
0.000747,200
0.000965,200
0.001423,200
0.000726,200
0.001468,200
0.001602,200
0.001700,200
0.001808,200
0.001823,200
0.001092,200
0.000486,200
0.000932,200
0.001930,200
0.001178,200
0.001501,200
0.001798,200
0.002092,200
0.001493,200
0.001268,200
0.001080,200
0.001077,200
0.001309,200
0.001588,200
0.001474,200
0.002617,200
0.002377,200
0.000861,200
0.001273,200
0.001111,200
0.001707,200
0.001797,200
0.001585,200
0.001279,200
0.001853,200
0.001769,200
0.001361,200
0.001511,200
0.001283,200
0.000353,200
0.000298,200
0.000335,200
